Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
ACTR3BP2,0.0,2.64,-5.25,2.44,0.17
ACTR3BP5,-0.2,65.74,-60.12,-5.04,-0.39
ACTR3C,0.0,0.74,-49.16,48.61,-0.2
ACTR5,0.0,2.5,-31.5,28.99,0.0
ACTR6,0.34,-1.65,-3.73,5.24,-0.2
ACTR8,-0.61,0.47,-6.66,7.0,-0.2
ACTRT2,-0.64,-22.84,11.91,11.08,0.49
ACVR1,0.17,1.86,-5.01,2.8,0.17
ACVR1B,-0.22,-0.35,-5.85,5.93,0.49
ACVR1C,0.17,1.86,-5.01,2.8,0.17
ACVR2A,0.17,1.86,-5.01,2.98,0.0
ACVR2B,-0.39,1.18,-7.52,6.76,-0.03
ACVRL1,-0.22,-0.55,-5.85,6.12,0.49
ACY1,-0.98,0.84,-7.89,7.86,0.17
ACY3,0.34,13.22,-6.28,-7.23,-0.05
ACYP1,-0.03,7.15,-10.32,3.19,0.0
ACYP2,0.0,2.05,-4.63,2.59,0.0
ADA,0.0,2.31,-31.52,29.22,0.0
ADAD1,-0.42,-9.51,6.13,3.44,0.34
ADAD2,0.17,12.66,-16.34,3.32,0.17
ADAL,0.17,12.29,-15.37,2.73,0.17
ADAM1,-0.44,-1.24,-3.39,5.08,-0.03
ADAM10,0.34,8.63,-11.27,2.29,0.0
ADAM11,0.17,4.92,-11.66,6.57,0.0
ADAM12,-1.79,61.78,-60.14,0.17,-0.03
ADAM15,0.0,-0.07,-9.7,9.64,0.13
ADAM17,-0.2,1.59,-3.69,2.17,0.13
ADAM18,0.0,7.6,-7.13,-0.27,-0.2
ADAM19,-0.03,-1.38,-3.73,5.53,-0.39
ADAM2,0.0,7.43,-6.96,-0.27,-0.2
ADAM20,0.14,6.31,-9.65,3.19,0.0
ADAM21,0.14,6.51,-9.85,3.19,0.0
ADAM21P1,0.14,6.68,-10.03,3.19,0.0
ADAM22,0.0,0.25,-54.35,52.06,2.03
ADAM23,0.34,1.78,-4.76,2.63,0.0
ADAM28,0.0,8.51,-8.58,-0.1,0.17
ADAM29,-2.22,-8.75,7.57,3.41,0.0
ADAM30,-0.2,-30.56,20.51,10.07,0.17
ADAM32,0.0,7.74,-7.28,-0.27,-0.2
ADAM33,0.0,1.55,-31.01,29.51,-0.05
ADAM3A,0.0,7.6,-7.13,-0.27,-0.2
ADAM5P,0.0,7.4,-6.94,-0.27,-0.2
ADAM6,0.34,6.77,-10.54,3.64,-0.22
ADAM7,0.0,8.51,-8.58,-0.1,0.17
ADAM8,2.59,57.53,-60.07,0.34,-0.39
ADAM9,0.0,7.91,-7.45,-0.27,-0.2
ADAMDEC1,0.0,8.51,-8.58,-0.1,0.17
ADAMTS1,0.0,0.96,-7.77,7.01,-0.2
ADAMTS10,0.0,2.51,-20.56,19.29,-1.24
ADAMTS12,0.17,1.13,-6.81,5.9,-0.39
ADAMTS13,0.0,3.57,-10.76,7.41,-0.22
ADAMTS14,0.34,66.95,-67.03,-0.26,0.0
ADAMTS15,0.0,11.26,0.59,-10.45,-1.4
ADAMTS16,0.13,0.98,-7.35,6.1,0.14
ADAMTS17,-0.03,8.07,-10.04,2.02,-0.03
ADAMTS18,0.0,12.39,-15.37,2.98,0.0
ADAMTS19,0.17,-0.58,-4.92,5.33,0.0
ADAMTS2,0.49,-1.51,-4.78,6.19,-0.39
ADAMTS20,-0.65,1.23,-5.9,5.24,0.1
ADAMTS3,-0.42,-6.6,3.73,3.1,0.17
ADAMTS4,0.0,0.26,-9.23,9.18,-0.2
ADAMTS5,0.0,0.79,-7.6,7.01,-0.2
ADAMTS6,0.0,1.66,-8.2,6.53,0.0
ADAMTS7,-0.03,9.06,-11.88,2.83,0.0
ADAMTS8,0.0,11.26,0.59,-10.45,-1.4
ADAMTS9,-0.39,0.93,-7.99,7.83,-0.39
ADAMTS9-AS2,-0.39,0.93,-7.99,7.64,-0.2
ADAMTSL1,-0.46,25.48,-27.3,2.12,0.17
ADAMTSL2,0.0,3.57,-10.76,7.41,-0.22
ADAMTSL3,0.17,9.24,-12.05,2.46,0.17
