,log_rank,p_value,long_survival
LOC143188,0.012331819004059831,0.9115777098199307,low
LOC219347,0.3917295195531059,0.5313916910989769,low
LOC254312,0.016140525182625737,0.8989044920575224,low
LOC282997,0.24168738374912005,0.6229900448834768,high
LOC283050,3.1824020271923787,0.07443523250486224,low
LOC283070,1.4206770353344995,0.23329199853525168,high
LOC338588,0.0040813223233799505,0.9490616148054529,same
LOC387646,0.024981939036274315,0.8744120736200393,low
LOC387647,0.14523604940662874,0.703130177247691,low
LOC399744,0.18174824170334086,0.6698751141885315,low
LOC399815,1.1567038403385712,0.28215018531273794,high
LOC441666,0.1341249090798668,0.7141929526835429,low
LOC619207,0.09077913424035104,0.7631889747801228,low
LOC642826,3.1145405702412376,0.07759635913043031,low
LOC650623,0.8787007890552517,0.3485577698393999,low
LOC728190,0.05665193674151916,0.8118681623963163,low
LOC728640,0.21964570176971848,0.6393100085216337,low
LOC728643,0.038192143244036705,0.8450578181248324,low
LOC729020,1.9551940778460037,0.16202823714497316,low
LOC729668,0.0031951985483026223,0.954922714064297,low
LOC731789,0.687443061559347,0.40703545427091614,low
LOC84856,0.017502745356003362,0.8947486354179501,high
LOC84989,0.8043499011787135,0.3697959945098024,high
LOXL4,8.51668880834867,0.0035190419747708522,low
LRIT1,0.01532775868817816,0.9014694149084193,low
LRIT2,0.0006566724195124341,0.9795559506749184,low
LRRC18,0.05378348936321172,0.8166058387636794,low
LRRC20,0.25201251636757127,0.6156615542793757,high
LRRC27,1.2816496943526707,0.2575925277584444,low
LRRTM3,1.8089290134019032,0.17863675821116876,low
LYZL1,2.7099614295276973e-06,0.9986865261822291,same
LYZL2,0.0016104705495590666,0.9679889516081621,high
LZTS2,0.001002227763967179,0.9747448043432987,low
MAP3K8,0.2869370867665223,0.5921900360003376,low
MAPK8,2.9425347692856483,0.08627524735161794,low
MARVELD1,7.482643571540721,0.0062296541683799726,low
MASTL,1.0125867744146198,0.31428392452395054,high
MAT1A,0.7049466846655096,0.40112651182110837,low
MBL1P,0.04079043761658372,0.8399429707052831,high
MBL2,0.0708898315140071,0.7900455656644124,high
MCM10,0.9836247273086662,0.3213055548216178,high
MEIG1,0.4762395303056365,0.49013061053553264,low
METTL10,0.7929001531641819,0.3732246210569071,low
MGEA5,0.0449442993080543,0.8321064836004899,low
MGMT,1.1707211036674854,0.27925312266595165,low
MINPP1,0.5910222792583099,0.4420240817268941,low
MKI67,0.010610703597763893,0.9179564077101349,high
MKX,0.0004716997881135734,0.982672386176449,high
MLLT10,1.1420765851940775,0.2852139618929359,low
MMP21,6.9376999063243625,0.008439757071909934,high
MMRN2,0.35332919559373127,0.552234576402836,low
MMS19,0.3231732954633825,0.5697068224297047,high
MORN4,0.21187563474667853,0.6453012560933715,low
MPP7,3.7220974157045745,0.0536968798794278,low
MRC1,0.18871474554991582,0.6639884831652088,low
MRPL43,0.07464953205399585,0.7846835953467942,high
MRPS16,0.0021375577817354494,0.9631239586261462,high
MSMB,0.010265421895785784,0.9192976957046721,same
MSRB2,0.04708037050448292,0.8282238413575158,low
MTG1,1.2239940538857428,0.2685782391863581,low
MTPAP,0.8802765377037818,0.34812594916643125,low
MXI1,1.7016626839990405,0.19207067779265058,high
MYO3A,0.015093696329750288,0.9022208075339657,low
MYOF,0.4481922446064828,0.5031946810234003,low
MYOZ1,0.35591025119459546,0.5507863975305867,low
MYPN,1.9014681700977154,0.16791407612738815,high
NANOS1,1.07204013094904,0.30048508285997166,low
NCOA4,4.3449688052487305,0.0371184471962276,low
NDST2,0.03460929584986744,0.8524167355533577,low
NDUFB8,0.002122310621266541,0.9632556187109096,low
NEBL,0.012756140927972143,0.910075676272539,low
NET1,2.8019096464834905,0.09415210747235837,high
NEURL,1.707361161191494,0.19132810459748734,low
NEUROG3,2.1484519180222805,0.14271372456260453,high
NFKB2,1.1291023301600835,0.28796689448253165,low
NHLRC2,5.618601000895724,0.017770828694465165,low
NKX1-2,0.08338162324042564,0.7727659907191391,high
NKX2-3,3.7651166743170055e-05,0.9951041674479418,same
NKX6-2,0.9385170365720258,0.3326595139238917,low
NMT2,0.30252777633185557,0.5823020545993822,low
NOC3L,5.287204196580425,0.02148268208075544,high
NODAL,0.0005303016962350502,0.9816277144640932,low
NOLC1,0.2939194952375588,0.5877197043944589,low
NPFFR1,0.02207794865125849,0.8818799244128256,high
NPM3,0.0046092610304595116,0.9458719743324929,high
NPS,0.0007989280886413463,0.9774505433622054,low
NRAP,1.470157665279955,0.2253208193220512,low
NRBF2,1.0904189992750961,0.2963783908319086,low
NRG3,1.003698084761814,0.3164173311363217,low
NRP1,4.373487715886826,0.03650220738485905,low
NSMCE4A,3.4641747461109538,0.06271179329851134,high
NSUN6,1.4047143576866312,0.23593582559298548,low
NT5C2,0.2013233301299382,0.6536548057477295,low
NUDT13,0.008783513757212733,0.9253312631304254,low
NUDT5,2.4402737305329025,0.11825558818255723,high
NUDT9P1,0.21712295599835058,0.641240879995976,high
OAT,0.12270956468043401,0.7261141279260137,low
OBFC1,0.24304070399972524,0.6220185324398776,low
OGDHL,2.74081415642725,0.09781491986853726,high
OIT3,6.874683773084109,0.008742522505596125,high
OLAH,1.375389711906828,0.24088801076660893,low
OPALIN,0.2261953215938132,0.6343594041627316,low
OPN4,1.6714105798603471,0.19606970541327756,low
OPTN,0.34009414398351673,0.5597748852702031,low
OR13A1,2.177969704743924,0.13999904053544068,high
OTUD1,0.0015222736052721527,0.9688773731705765,low
P4HA1,2.1576042275528162,0.14186573054275736,low
PANK1,0.07115069153015002,0.789668684192584,high
PAOX,1.8730031423066764,0.1711315218799584,low
PAPSS2,0.3623198818262268,0.5472206470077823,high
PARD3,1.873177131594764,0.17111164185691183,high
PARG,1.3626466360382734,0.24307932264179183,low
PAX2,3.5000624163768106,0.06136651627302764,low
PBLD,1.1191035198483976,0.2901115712061435,low
PCBD1,2.2921441323048404,0.1300301840441776,low
PCDH15,2.1327216362124695,0.144184547978332,high
PCGF5,0.6527651203518658,0.4191258082922896,low
PCGF6,3.9308426596291426,0.0474081834360415,low
PDCD11,0.9808657929062404,0.32198514928653865,low
PDCD4,0.23341589528129583,0.6290024800625265,high
PDE6C,0.3233480447437258,0.5696025057225752,low
PDLIM1,1.9583194429371644,0.16169316510202417,low
PDSS1,2.859419847371703,0.09084025617286269,high
PDZD7,0.5736369016970871,0.44881731707363715,low
PDZD8,1.2969161021498739,0.2547773022910271,low
PFKFB3,0.1905146378496706,0.6624886336824705,low
PFKP,0.06931373685469878,0.7923386108400147,low
PGAM1,0.023435300250732417,0.878330515736736,low
PGBD3,1.1099659585427746,0.29208934851069024,low
PHYH,0.0016369397852363456,0.9677271038211784,low
PHYHIPL,0.017436880239625828,0.8949457088487924,high
PI4K2A,1.2388079184322554,0.2657009207443987,low
PIK3AP1,2.615111794272311,0.10585006505677043,low
PIP4K2A,0.006114697626654483,0.9376717205854737,low
PIPSL,0.6140326654875261,0.4332734680176017,high
PITRM1,0.5802371203620734,0.44621939233209507,low
PITX3,1.9572141812129709,0.16181157038199365,high
PKD2L1,0.6743100194387156,0.4115529617167084,low
PLA2G12B,0.23340526658304325,0.6290102899613936,low
PLAC9,1.4740077098167912,0.22471443037923777,low
PLAU,2.449289384579467,0.11757808622099294,low
PLCE1,0.00582280710885953,0.9391746021870405,low
PLEKHA1,0.19636388878501226,0.6576719584204891,low
PLXDC2,2.1795955593401484,0.13985120861801562,low
PNLIP,0.017540187239101435,0.8946367746363257,same
PNLIPRP1,0.0008181293184934742,0.977181251344671,high
PNLIPRP2,0.00010078699220920542,0.9919899540269607,same
PNLIPRP3,4.634963134753474,0.03132681737232428,low
POLL,0.051281610643928055,0.8208479951564374,low
POLR3A,1.122271438206898e-05,0.9973270661908581,low
PPA1,1.7434748391584827,0.18669914328211099,high
PPAPDC1A,0.9141050579943002,0.3390275670782672,low
PPIF,0.14858110173943756,0.6998950125632558,high
PPP1R3C,1.5948268618524555,0.20663786325114464,low
PPP2R2D,0.04178351551563428,0.8380329874401157,high
PPP3CB,0.08808816146709655,0.7666218789529229,low
PPRC1,1.3421462729686187,0.24665582305422196,low
PPYR1,0.0804861951293174,0.776639612430416,high
PRAP1,0.28499254292643966,0.5934474427810927,low
