,log_rank,p_value,long_survival
COX19,1.3320480406119608,0.24844119583584,high
CPA1,1.4200845403183633,0.23338948865631687,high
CPA2,0.0543225599614941,0.8157054923367045,high
CPA4,3.098560938436923,0.07836153442634816,low
CPA5,0.1836663857415648,0.6682411571948361,low
CPSF4,3.0562684826264945,0.08042617167055718,low
CPVL,0.6337950550532053,0.42596667036972724,high
CRCP,1.4144405322701847,0.23432063608824527,low
CREB3L2,0.10198696252148029,0.7494581061414778,low
CREB5,0.28322603412981545,0.5945945136327597,high
CRHR2,5.350163289113638,0.020720330125994377,low
CROT,0.5346345800825625,0.46466487645324617,high
CRYGN,8.084676140774643,0.004464110783894438,low
CTAGE4,0.7103556403681609,0.3993257731957185,low
CTTNBP2,1.8024628230909983,0.17941503651940605,high
CUL1,7.304398695733251,0.006878601170368984,low
CUX1,4.795155585193784,0.028539878839334717,low
CYCS,1.4010302597289583,0.2365511477517108,high
CYP2W1,0.2131107701682701,0.6443400636686258,high
CYP3A4,2.20091599575104,0.13792875460575235,low
CYP3A43,0.0005279738484555677,0.9816680758084573,low
CYP3A5,0.7098563575626318,0.3994915018246704,low
CYP3A7,0.48346705571848836,0.48685606574654394,low
CYP51A1,0.3916056373429779,0.5314566159059233,high
CYTH3,3.200135155161151,0.07363218488633931,low
DAGLB,1.6641150847454227,0.1970486280763209,high
DBF4,0.10576711893502425,0.7450156543542428,high
DBNL,3.318750666346323,0.06849386063855874,high
DDC,0.33613064310432905,0.5620712489149633,low
DDX56,1.6456919740556475,0.1995462921316638,low
DENND2A,4.52702473262613,0.033363574523741876,low
DFNA5,0.011087241500393537,0.9161409599129212,low
DGKB,1.1308740948818716,0.28758896966737424,high
DGKI,1.0304282406979135,0.31005810747564505,high
DKFZP586I1420,2.243960702647113,0.1341370052601402,low
DKFZp434L192,0.0017243347306332337,0.9668772755165586,high
DLD,1.3708031703265344,0.24167393587125732,high
DLX5,0.8166005570676216,0.36617596151178455,low
DLX6,0.06634927173505842,0.7967283468233943,low
DMTF1,0.5742389550945649,0.4485793682297262,low
DNAH11,1.2236926475992222,0.26863718395273206,low
DNAJB6,3.20186233404517,0.07355446778145293,low
DNAJB9,1.8028913900126935,0.17936333260972503,high
DNAJC2,0.21152230366040708,0.6455768456393718,low
DNAJC30,11.325164337339741,0.000764637598963069,low
DOCK4,0.07352021647226845,0.7862786537935065,low
DPP6,0.3556734390454175,0.5509189710667275,high
DPY19L1,1.9276806562321351,0.1650124162655887,low
DPY19L2P1,0.402657589353489,0.5257199489251563,low
DPY19L2P2,0.43177104477417155,0.5111212007597423,low
DPY19L2P4,0.009640552853600368,0.9217843473834173,low
DTX2,10.105492329755942,0.0014782809571535836,low
DUS4L,4.084096940740017,0.04328857757853856,low
DYNC1I1,2.5869461169573253,0.10774790398347066,low
EEPD1,0.33258708544583304,0.564139674804288,high
EFCAB10,0.05918668944616208,0.8077860592779424,low
EGFR,2.8906937110408313,0.08909255630772578,high
EIF2AK1,1.2613914599830691,0.26138787046651096,high
EIF3B,2.406138341346601,0.12086017935236226,high
EIF3IP1,0.0800185279076266,0.7772723039229289,high
EIF4H,3.268594522844861,0.07061810028765,low
ELFN1,1.0204515494739042,0.3124119242919675,low
ELMO1,0.0522305182161232,0.8192264860472431,high
ELN,0.010800863601353546,0.9172271188264016,high
EMID2,1.578727635301403,0.20894406257893208,low
EN2,9.250045433568374,0.002354895826710459,low
EPDR1,0.03479312010633465,0.8520298293388211,high
EPHA1,2.6509496811140383,0.10348805428908933,low
EPHB4,0.06574629835199042,0.7976339504786846,high
EPHB6,4.679217121823057,0.03052965871548721,low
EPO,1.7933337653450172,0.18052050395055555,low
ESYT2,2.859532622291216,0.09083388745556814,low
ETV1,3.322463963030095,0.06833933506804903,high
EVX1,0.7593123948061529,0.3835437926146814,high
EXOC4,0.5210670550087838,0.470386861331328,high
EZH2,0.2781195742495635,0.5979363713015049,low
FAM115A,0.009972724303166652,0.9204526716887603,low
FAM115C,9.219905785840593,0.002393978659226518,low
FAM126A,0.25055994051381647,0.6166810818394333,low
FAM131B,0.61387529863947,0.43333241166279113,low
FAM133B,0.2011195536408631,0.6538186881599903,low
FAM180A,1.4355933675478787,0.2308537625918824,high
FAM183B,0.6599599771123055,0.416574073215202,low
FAM185A,4.755779399488774,0.029200065960902234,low
FAM188B,0.0013658621863347291,0.9705188346224202,high
FAM200A,0.0862002347752447,0.7690645196440568,low
FAM20C,5.674507616116835,0.01721317022853568,low
FAM3C,3.499900498891116,0.06137251638877951,low
FAM40B,0.06544643318048159,0.7980859650442509,high
FAM71F1,1.6404316813481314,0.20026625002561282,low
FAM71F2,0.00017940641582254505,0.9893132398891747,low
FASTK,5.289275530908544,0.02145714460139104,high
FBXL13,2.45298208060619,0.1173018295808021,low
FBXL18,1.0548371116568938,0.3043956808590218,high
FBXO24,0.6452323850003705,0.421822401472954,low
FDPSL2A,1.2953890305678666,0.2550571910722798,low
FERD3L,0.592634995850712,0.44140198727444324,low
FEZF1,0.6363972479147217,0.4250184248828792,low
FGL2,0.4658454196835139,0.4949047045162477,high
FIGNL1,0.17692939254292483,0.6740254610533465,low
FIS1,0.9972247695220421,0.31798296550514227,high
FKBP14,0.09337417206432772,0.7599306356981228,low
FKBP6,0.2141800607073163,0.6435106582235115,low
FKBP9,4.851348890831605,0.027624521234670654,low
FKBP9L,2.678756887035434,0.10169508508577545,low
FLJ35390,6.905080339271754,0.008595116398872787,low
FLJ40852,0.04898885652464946,0.8248321724926528,low
FLJ43663,0.07142227763980881,0.7892770915135734,low
FLJ45340,0.19556048257569508,0.6583284160879751,low
FLNC,3.358184370046284,0.06687175852853516,low
FOXK1,0.2628302251003548,0.6081823856695352,low
FOXP2,0.012757530506181789,0.9100707992869966,high
FSCN1,1.2730848754621604,0.25918875616474224,high
